date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:13	2390/2390	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Nov%202021%2005:10:12%20GMT	https://fota.io/robots.txt		(from )
10:40:13	132099/132099	---MCZ	200	added ('OK')	text/html	etag:%2253028610%22	https://fota.io/	C:/My%20Web%20Sites/fota/fota.io/index.html	(from )
10:40:14	15406/15406	---MC-	200	added ('OK')	image/vnd.microsoft.icon	etag:%2253028610%22	https://fota.io/assets/images/favicon.ico	C:/My%20Web%20Sites/fota/fota.io/assets/images/favicon.ico	(from https://fota.io/)
10:40:14	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/My%20Web%20Sites/fota/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://fota.io/)
10:40:15	59344/59344	---MCZ	200	added ('OK')	text/css	etag:%2253028610%22	https://fota.io/assets/css/font-awesome/all.min.css	C:/My%20Web%20Sites/fota/fota.io/assets/css/font-awesome/all.min.css	(from https://fota.io/)
10:40:16	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/fota/unpkg.com/aos@2.3.1/dist/aos.css	(from https://fota.io/)
10:40:16	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	C:/My%20Web%20Sites/fota/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	(from https://fota.io/)
10:40:17	26172/26172	---M-Z	200	added ('OK')	text/css	etag:%2253028610%22	https://fota.io/assets/css/spine-player.min.css	C:/My%20Web%20Sites/fota/fota.io/assets/css/spine-player.min.css	(from https://fota.io/)
10:40:18	7586/7586	---MCZ	200	added ('OK')	text/css	etag:%2253028610%22	https://fota.io/assets/css/google-fonts.css	C:/My%20Web%20Sites/fota/fota.io/assets/css/google-fonts.css	(from https://fota.io/)
10:40:19	338892/338892	---MCZ	200	added ('OK')	text/css	etag:%2253028610%22	https://fota.io/assets/css/styles.min.css	C:/My%20Web%20Sites/fota/fota.io/assets/css/styles.min.css	(from https://fota.io/)
10:40:20	1843/1843	---MCZ	200	added ('OK')	text/css	etag:%2253028610%22	https://fota.io/assets/css/custom.css	C:/My%20Web%20Sites/fota/fota.io/assets/css/custom.css	(from https://fota.io/)
10:40:21	18634/18634	---M--	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/logo.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/logo.png	(from https://fota.io/)
10:40:21	53223/53223	---M--	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/fota-large-img.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/fota-large-img.png	(from https://fota.io/)
10:40:22	84646/84646	---MC-	200	added ('OK')	image/jpeg	etag:%2253028610%22	https://fota.io/assets/images/hero-banner.jpg	C:/My%20Web%20Sites/fota/fota.io/assets/images/hero-banner.jpg	(from https://fota.io/)
10:40:24	57088/57088	---M--	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/heroes-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/heroes-bg.png	(from https://fota.io/)
10:40:24	426368/426368	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/worlds-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/worlds-bg.png	(from https://fota.io/)
10:40:25	338600/338600	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/hero-selection-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/hero-selection-bg.png	(from https://fota.io/)
10:40:25	29231/29231	---M--	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/coming-soon.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/coming-soon.png	(from https://fota.io/)
10:40:28	1753498/1753498	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/images/skills/ciara/Skill_01.mp4	C:/My%20Web%20Sites/fota/fota.io/assets/images/skills/ciara/Skill_01.mp4	(from https://fota.io/)
10:40:29	2430784/2430784	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/images/skills/ciara/Skill_02.mp4	C:/My%20Web%20Sites/fota/fota.io/assets/images/skills/ciara/Skill_02.mp4	(from https://fota.io/)
10:40:32	2373950/2373950	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/images/skills/zel/Skill_01.mp4	C:/My%20Web%20Sites/fota/fota.io/assets/images/skills/zel/Skill_01.mp4	(from https://fota.io/)
10:40:32	2910060/2910060	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/images/skills/ciara/Skill_03.mp4	C:/My%20Web%20Sites/fota/fota.io/assets/images/skills/ciara/Skill_03.mp4	(from https://fota.io/)
10:40:34	2472216/2472216	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/images/skills/zel/Skill_02.mp4	C:/My%20Web%20Sites/fota/fota.io/assets/images/skills/zel/Skill_02.mp4	(from https://fota.io/)
10:40:34	2084801/2084801	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/images/skills/zel/Skill_03.mp4	C:/My%20Web%20Sites/fota/fota.io/assets/images/skills/zel/Skill_03.mp4	(from https://fota.io/)
10:40:35	370361/370361	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/lands-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/lands-bg.png	(from https://fota.io/)
10:40:35	71674/71674	---MC-	200	added ('OK')	image/jpeg	etag:%2253028610%22	https://fota.io/assets/images/epic-story-bg.jpg	C:/My%20Web%20Sites/fota/fota.io/assets/images/epic-story-bg.jpg	(from https://fota.io/)
10:40:37	355545/355545	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/roadmap-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/roadmap-bg.png	(from https://fota.io/)
10:40:37	256264/256264	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/join-the-flight.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/join-the-flight.png	(from https://fota.io/)
10:40:38	46549/46549	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/footer-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/footer-bg.png	(from https://fota.io/)
10:40:38	89501/89501	---MCZ	200	added ('OK')	text/javascript	etag:%2253028610%22	https://fota.io/assets/js/jquery-3.6.0.min.js	C:/My%20Web%20Sites/fota/fota.io/assets/js/jquery-3.6.0.min.js	(from https://fota.io/)
10:40:39	60044/60044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/My%20Web%20Sites/fota/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://fota.io/)
10:40:40	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-a76f%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	C:/My%20Web%20Sites/fota/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	(from https://fota.io/)
10:40:40	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My%20Web%20Sites/fota/unpkg.com/aos@2.3.1/dist/aos.js	(from https://fota.io/)
10:40:42	225346/225346	---MCZ	200	added ('OK')	text/javascript	etag:%2253028610%22	https://fota.io/assets/js/spine-player.min.js	C:/My%20Web%20Sites/fota/fota.io/assets/js/spine-player.min.js	(from https://fota.io/)
10:40:42	5023/5023	---MCZ	200	added ('OK')	text/javascript	etag:%2253028610%22	https://fota.io/assets/js/jquery.lazy.min.js	C:/My%20Web%20Sites/fota/fota.io/assets/js/jquery.lazy.min.js	(from https://fota.io/)
10:40:43	4757/4757	---MCZ	200	added ('OK')	text/javascript	etag:%2253028610%22	https://fota.io/assets/js/app.js	C:/My%20Web%20Sites/fota/fota.io/assets/js/app.js	(from https://fota.io/)
10:40:45	134294/134294	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-brands-400.eot	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:45	134294/134294	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-brands-400d41d.eot	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:46	76736/76736	---MC-	200	added ('OK')	font/woff2	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-brands-400.woff2	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:47	89988/89988	---MC-	200	added ('OK')	font/woff	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-brands-400.woff	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:48	133988/133988	---MC-	200	added ('OK')	font/ttf	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-brands-400.ttf	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:50	34034/34034	---M--	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-regular-400.eot	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:50	747927/747927	---MC-	200	added ('OK')	image/svg+xml	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-brands-400.svg	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:51	34034/34034	---M--	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-regular-400d41d.eot	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:51	13224/13224	---MC-	200	added ('OK')	font/woff2	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-regular-400.woff2	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:52	16276/16276	---MC-	200	added ('OK')	font/woff	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-regular-400.woff	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:53	33736/33736	---M--	200	added ('OK')	font/ttf	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-regular-400.ttf	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:54	144714/144714	---MC-	200	added ('OK')	image/svg+xml	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-regular-400.svg	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:57	203030/203030	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-solid-900.eot	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:58	203030/203030	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-solid-900d41d.eot	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:40:59	78268/78268	---MC-	200	added ('OK')	font/woff2	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-solid-900.woff2	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:41:00	101648/101648	---MC-	200	added ('OK')	font/woff	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-solid-900.woff	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:41:01	202744/202744	---MC-	200	added ('OK')	font/ttf	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-solid-900.ttf	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:41:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Nov%202021%2005:11:02%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/fota/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.35.delayed	(from https://fota.io/assets/css/styles.min.css)
10:41:04	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%2260510736-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/fota/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://fota.io/assets/css/styles.min.css)
10:41:04	918991/918991	---MC-	200	added ('OK')	image/svg+xml	etag:%2253028610%22	https://fota.io/assets/css/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/fota/fota.io/assets/css/webfonts/fa-solid-900.svg	(from https://fota.io/assets/css/font-awesome/all.min.css)
10:41:04	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/fota/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://fota.io/assets/css/styles.min.css)
10:41:06	27395/27395	---M-Z	200	added ('OK')	text/css	etag:%226e6047-6b03-5cff9034fae7e%22	https://esotericsoftware.com/files/spine-player/4.0/spine-player.css	C:/My%20Web%20Sites/fota/esotericsoftware.com/files/spine-player/4.0/spine-player.css	(from https://fota.io/assets/css/styles.min.css)
10:41:07	5359/5359	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/fota-large-btn.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/fota-large-btn.png	(from https://fota.io/assets/css/styles.min.css)
10:41:07	2627/2627	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/title-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/title-bg.png	(from https://fota.io/assets/css/styles.min.css)
10:41:08	3124/3124	---MC-	200	added ('OK')	application/octet-stream	etag:%2253028610%22	https://fota.io/assets/css/fonts/icomoon.eot?mmb09u	C:/My%20Web%20Sites/fota/fota.io/assets/css/fonts/icomoon11f7.eot	(from https://fota.io/assets/css/styles.min.css)
10:41:09	2960/2960	---MC-	200	added ('OK')	font/ttf	etag:%2253028610%22	https://fota.io/assets/css/fonts/icomoon.ttf?mmb09u	C:/My%20Web%20Sites/fota/fota.io/assets/css/fonts/icomoon11f7.ttf	(from https://fota.io/assets/css/styles.min.css)
10:41:10	3036/3036	---MC-	200	added ('OK')	font/woff	etag:%2253028610%22	https://fota.io/assets/css/fonts/icomoon.woff?mmb09u	C:/My%20Web%20Sites/fota/fota.io/assets/css/fonts/icomoon11f7.woff	(from https://fota.io/assets/css/styles.min.css)
10:41:11	7455/7455	---MC-	200	added ('OK')	image/svg+xml	etag:%2253028610%22	https://fota.io/assets/css/fonts/icomoon.svg?mmb09u	C:/My%20Web%20Sites/fota/fota.io/assets/css/fonts/icomoon11f7.svg	(from https://fota.io/assets/css/styles.min.css)
10:41:13	154602/154602	---MC-	200	added ('OK')	image/webp	etag:%2253028610%22	https://fota.io/assets/images/hand-bg.webp	C:/My%20Web%20Sites/fota/fota.io/assets/images/hand-bg.webp	(from https://fota.io/assets/css/styles.min.css)
10:41:13	148848/148848	---MC-	200	added ('OK')	image/webp	etag:%2253028610%22	https://fota.io/assets/images/comming-bg.webp	C:/My%20Web%20Sites/fota/fota.io/assets/images/comming-bg.webp	(from https://fota.io/assets/css/styles.min.css)
10:41:13	6938/6938	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/inner-frame.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/inner-frame.png	(from https://fota.io/assets/css/styles.min.css)
10:41:15	465639/465639	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/village-selection-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/village-selection-bg.png	(from https://fota.io/assets/css/styles.min.css)
10:41:16	422231/422231	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/iceland-selection-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/iceland-selection-bg.png	(from https://fota.io/assets/css/styles.min.css)
10:41:16	461598/461598	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/forrest-selection-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/forrest-selection-bg.png	(from https://fota.io/assets/css/styles.min.css)
10:41:17	364197/364197	---MC-	200	added ('OK')	image/png	etag:%2253028610%22	https://fota.io/assets/images/lava-selection-bg.png	C:/My%20Web%20Sites/fota/fota.io/assets/images/lava-selection-bg.png	(from https://fota.io/assets/css/styles.min.css)
